,Open,High,Low,Close,Volume,Ticker
2024-10-24,26.89,26.94,26.26,26.53,4447080.0,SIRI
2024-10-25,26.73,26.918,26.385,26.4,4805721.0,SIRI
2024-10-28,26.6,27.24,26.45,27.03,4801223.0,SIRI
2024-10-29,27.18,28.13,27.05,27.65,6509244.0,SIRI
2024-10-30,27.6,27.75,27.2,27.39,6035389.0,SIRI
2024-10-31,27.0,27.31,26.23,26.66,9389000.0,SIRI
2024-11-01,27.27,28.84,27.25,27.65,10590187.0,SIRI
2024-11-04,27.72,27.9209,25.76,25.93,9650795.0,SIRI
2024-11-05,25.75,26.39,25.6,26.34,5723927.0,SIRI
2024-11-06,26.8,27.02,26.11,26.2,5180233.0,SIRI
2024-11-07,26.4,27.0,26.1,26.12,4896756.0,SIRI
2024-11-08,26.01,26.28,25.63,26.13,3906654.0,SIRI
2024-11-11,26.175,27.795,25.9,27.44,7252561.0,SIRI
2024-11-12,27.0,27.36,26.68,27.16,6484691.0,SIRI
2024-11-13,27.3,27.4,26.42,26.5,3699025.0,SIRI
2024-11-14,26.71,27.66,26.61,27.03,5090939.0,SIRI
2024-11-15,26.81,26.84,25.615,25.8,5322509.0,SIRI
2024-11-18,25.8,25.9,25.01,25.12,4905837.0,SIRI
2024-11-19,25.01,25.58,24.75,25.17,3473400.0,SIRI
2024-11-20,25.16,25.655,24.622,25.21,3797452.0,SIRI
2024-11-21,25.13,26.04,24.64,25.77,4630707.0,SIRI
2024-11-22,25.7,26.46,25.62,26.22,3690714.0,SIRI
2024-11-25,26.65,26.86,26.08,26.7,6734692.0,SIRI
2024-11-26,26.62,26.67,26.16,26.32,3006119.0,SIRI
2024-11-27,26.45,26.98,26.31,26.62,2852702.0,SIRI
2024-11-29,26.59,27.16,26.49,26.95,1952740.0,SIRI
2024-12-02,26.97,27.67,26.475,27.51,4883548.0,SIRI
2024-12-03,27.4,27.9,26.74,27.35,5412581.0,SIRI
2024-12-04,27.4,28.07,27.09,27.78,3699895.0,SIRI
2024-12-05,27.95,28.11,27.035,27.07,3926751.0,SIRI
2024-12-06,27.35,28.32,27.21,28.31,4612195.0,SIRI
2024-12-09,28.37,29.18,28.33,28.74,4341420.0,SIRI
2024-12-10,27.15,27.84,24.801,25.22,14314155.0,SIRI
2024-12-11,25.51,26.06,24.7,25.515,7015189.0,SIRI
2024-12-12,25.45,25.66,24.8,24.81,3722449.0,SIRI
2024-12-13,24.76,24.875,23.76,24.11,5564052.0,SIRI
2024-12-16,24.1,24.19,22.64,22.64,8340871.0,SIRI
2024-12-17,22.61,22.62,21.79,22.34,11153644.0,SIRI
2024-12-18,22.47,22.645,21.46,21.51,8406103.0,SIRI
2024-12-19,21.51,21.6,20.47,20.58,10851861.0,SIRI
2024-12-20,21.15,23.2,20.97,23.08,14544182.0,SIRI
2024-12-23,23.49,23.856,23.11,23.26,5971083.0,SIRI
2024-12-24,23.3,23.69,23.05,23.4,2320597.0,SIRI
2024-12-26,23.42,23.59,23.22,23.44,3820048.0,SIRI
2024-12-27,23.46,23.475,22.89,23.13,3814082.0,SIRI
2024-12-30,23.0,23.075,22.445,22.8,5011882.0,SIRI
2024-12-31,22.94,23.12,22.46,22.8,4697479.0,SIRI
2025-01-02,22.87,22.89,22.08,22.1,5339758.0,SIRI
2025-01-03,22.17,22.51,22.05,22.36,4360195.0,SIRI
2025-01-06,22.76,23.3,22.64,23.13,6238458.0,SIRI
2025-01-07,23.3,23.645,22.91,23.1,5239414.0,SIRI
2025-01-08,22.71,22.72,21.54,21.55,8419267.0,SIRI
2025-01-10,21.5,21.5743,20.82,20.825,6550887.0,SIRI
2025-01-13,20.79,21.25,20.5752,20.9,5229142.0,SIRI
2025-01-14,21.2,21.52,20.94,21.31,3544050.0,SIRI
2025-01-15,21.72,22.1,21.55,21.56,3209881.0,SIRI
2025-01-16,21.48,21.97,21.4,21.93,3380672.0,SIRI
2025-01-17,22.13,22.3,21.88,22.27,4156789.0,SIRI
2025-01-21,22.48,22.8,22.1301,22.19,3571952.0,SIRI
2025-01-22,22.21,22.39,21.815,22.1,4249222.0,SIRI
2025-01-23,22.12,22.2221,21.815,22.13,4312565.0,SIRI
2025-01-24,22.15,22.25,21.8048,21.96,3889683.0,SIRI
2025-01-27,21.68,22.07,21.45,21.89,4682240.0,SIRI
2025-01-28,21.91,22.175,21.71,22.06,4031728.0,SIRI
2025-01-29,22.0,22.32,21.655,21.84,6166658.0,SIRI
2025-01-30,21.99,23.46,21.99,23.11,12564543.0,SIRI
2025-01-31,23.27,24.14,23.13,24.01,10841358.0,SIRI
2025-02-03,23.39,24.23,22.87,24.0,8417268.0,SIRI
2025-02-04,24.82,24.832,24.06,24.62,10058131.0,SIRI
2025-02-05,24.82,25.83,24.46,25.79,8692419.0,SIRI
2025-02-06,26.0,26.3264,25.48,25.91,8119228.0,SIRI
2025-02-07,25.84,25.84,25.09,25.44,5654397.0,SIRI
2025-02-10,25.59,26.58,25.27,25.855,5584244.0,SIRI
2025-02-11,25.5,26.21,25.09,25.94,5073663.0,SIRI
2025-02-12,25.65,26.12,25.3555,25.81,4493477.0,SIRI
2025-02-13,25.86,26.739,25.695,26.44,4955830.0,SIRI
2025-02-14,26.67,27.16,26.5502,27.11,5031728.0,SIRI
2025-02-18,27.38,27.41,26.39,26.52,5348692.0,SIRI
2025-02-19,26.14,26.14,24.97,25.2,6151932.0,SIRI
2025-02-20,25.25,25.74,25.11,25.19,3555711.0,SIRI
2025-02-21,25.32,25.37,24.515,24.75,4939027.0,SIRI
2025-02-24,24.92,25.67,24.84,25.0,4153296.0,SIRI
2025-02-25,25.02,25.2648,24.26,24.51,4112906.0,SIRI
2025-02-26,24.55,24.675,23.935,24.13,3615998.0,SIRI
2025-02-27,24.15,24.53,23.81,23.92,3276613.0,SIRI
2025-02-28,23.73,24.53,23.58,24.19,3847487.0,SIRI
2025-03-03,24.31,24.68,23.88,24.04,3818659.0,SIRI
2025-03-04,23.55,24.1,23.09,23.65,4257241.0,SIRI
2025-03-05,24.0,24.0,22.92,23.23,5263826.0,SIRI
2025-03-06,23.0,24.13,22.96,23.75,5662855.0,SIRI
2025-03-07,23.62,25.355,23.59,25.23,6599414.0,SIRI
2025-03-10,24.8,24.99,24.26,24.39,4993935.0,SIRI
2025-03-11,24.36,24.38,21.945,22.7,11083092.0,SIRI
2025-03-12,22.91,23.045,22.22,22.52,4200857.0,SIRI
2025-03-13,22.49,22.78,21.66,21.83,5331668.0,SIRI
2025-03-14,22.15,22.69,22.085,22.67,3975159.0,SIRI
2025-03-17,22.61,23.2573,22.61,23.05,3789210.0,SIRI
2025-03-18,22.87,22.9589,22.45,22.63,2898397.0,SIRI
2025-03-19,22.78,23.32,22.68,23.08,3021677.0,SIRI
2025-03-20,22.91,23.44,22.9,23.04,3291431.0,SIRI
2025-03-21,22.91,23.53,22.83,23.47,8210552.0,SIRI
2025-03-24,23.59,24.315,23.48,23.95,3679489.0,SIRI
2025-03-25,24.04,24.4,23.96,24.24,2510251.0,SIRI
2025-03-26,24.09,24.33,23.75,23.95,3485458.0,SIRI
2025-03-27,23.89,24.09,23.38,23.82,3634764.0,SIRI
2025-03-28,23.9,23.9,22.455,22.75,5751308.0,SIRI
2025-03-31,22.49,22.71,22.04,22.545,4643815.0,SIRI
2025-04-01,22.51,22.565,21.84,21.96,4317983.0,SIRI
2025-04-02,21.88,22.65,21.7216,22.33,3609593.0,SIRI
2025-04-03,21.66,21.84,20.945,21.13,7205885.0,SIRI
2025-04-04,20.455,20.64,19.01,19.51,9249265.0,SIRI
2025-04-07,18.91,21.35,18.69,20.36,10358278.0,SIRI
2025-04-08,20.905,21.14,18.931,19.34,7469354.0,SIRI
2025-04-09,19.62,21.66,19.31,20.9,11090263.0,SIRI
2025-04-10,20.59,20.7,19.73,20.08,6906450.0,SIRI
2025-04-11,19.99,20.125,19.3149,20.02,4864727.0,SIRI
2025-04-14,20.36,20.855,20.21,20.72,3816724.0,SIRI
2025-04-15,20.59,20.7778,20.275,20.42,2848041.0,SIRI
2025-04-16,20.2,20.41,19.825,20.08,2821375.0,SIRI
2025-04-17,20.12,20.54,20.01,20.32,2968401.0,SIRI
2025-04-21,20.255,20.29,19.81,20.16,2519191.0,SIRI
2025-04-22,20.27,20.49,20.085,20.32,3052728.0,SIRI
2025-04-23,20.98,21.81,20.93,21.03,3291419.0,SIRI
2025-04-24,21.2,21.425,20.96,21.36,3288136.0,SIRI
2025-04-25,21.39,21.715,21.21,21.67,3020031.0,SIRI
2025-04-28,21.75,22.135,21.4,21.77,2303281.0,SIRI
2025-04-29,21.71,21.86,21.46,21.73,2498400.0,SIRI
2025-04-30,21.3,21.52,20.63,21.42,4234940.0,SIRI
2025-05-01,21.61,21.68,19.41,19.5,9021386.0,SIRI
2025-05-02,19.71,20.71,19.71,20.47,8527600.0,SIRI
2025-05-05,20.29,21.41,20.12,21.29,4922109.0,SIRI
2025-05-06,21.05,21.71,21.02,21.47,4806602.0,SIRI
2025-05-07,21.63,21.7492,20.89,21.15,4105461.0,SIRI
2025-05-08,21.24,21.845,21.125,21.72,3918886.0,SIRI
2025-05-09,21.6,21.705,21.365,21.57,3553630.0,SIRI
